society,price,place,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
rajwada royal gardens,0.69,narendrapur,7679.0,899.0,Super Built up area 1379(128.11 sq.m.)Carpet area: 897 sq.ft. (83.33 sq.m.),3.0,2,1,10,South-East,Relatively New,South,1379.0,,897.0,0,0,0,0,0,0,104.0
windsor heights,1.05,em bypass,6306.0,1665.0,Super Built up area 1665(154.68 sq.m.),3.0,2,2,7,South-East,Relatively New,South,1665.0,,,0,0,0,1,0,0,97.0
windsor heights,0.9,em bypass,6016.0,1496.0,Super Built up area 1496(138.98 sq.m.),3.0,2,1,11,South-East,Relatively New,South,1496.0,,,0,0,0,0,0,0,104.0
windsor heights,1.0,em bypass,6006.0,1665.0,Super Built up area 1665(154.68 sq.m.),3.0,2,2,7,North-East,Relatively New,South,1665.0,,,0,0,0,1,0,0,92.0
ganapati apartment.dumdum cantonment.,0.24,dum dum,3500.0,686.0,Super Built up area 700(65.03 sq.m.),2.0,2,1,2,South-East,Relatively New,North,700.0,,,0,0,0,0,1,0,65.0
"santosh enclave,sodepure",0.26,sodepur,3000.0,867.0,Super Built up area 870(80.83 sq.m.),2.0,2,1,0,South,Relatively New,North,870.0,,,0,0,0,0,1,0,19.0
"santosh enclave,sodepure",0.32,sodepur,3000.0,1067.0,Super Built up area 1050(97.55 sq.m.),3.0,2,1,1,West,Relatively New,North,1050.0,,,0,0,0,0,1,0,34.0
"santosh enclave, sodepure",0.32,sodepur,3000.0,1067.0,Super Built up area 1052(97.73 sq.m.),3.0,2,1,4,North-East,Relatively New,North,1052.0,,,0,0,0,0,1,0,35.0
on request,0.17,khardah,2500.0,680.0,Super Built up area 662(61.5 sq.m.),2.0,2,1,3,East,Relatively New,North,662.0,,,0,0,0,0,1,0,19.0
on request,0.17,khardah,2500.0,680.0,Super Built up area 660(61.32 sq.m.),2.0,2,1,2,West,Relatively New,North,660.0,,,0,0,0,0,1,0,0.0
parul apartment,0.15,khardah,2500.0,600.0,Super Built up area 614(57.04 sq.m.),1.0,1,1,1,South,Relatively New,North,614.0,,,0,0,0,0,1,0,19.0
on request,0.15,khardah,2500.0,600.0,Super Built up area 620(57.6 sq.m.),2.0,2,1,1,South-East,Relatively New,North,620.0,,,0,0,0,0,1,0,19.0
"ganapati apartment, new booking",0.28,dum dum,3500.0,800.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,2,South,Relatively New,North,800.0,,,0,0,0,0,0,0,33.0
ganapati apartment.dumdum cantonment.dumdum,0.23,dum dum,3500.0,657.0,Super Built up area 650(60.39 sq.m.),2.0,2,1,0,South-East,Relatively New,North,650.0,,,0,0,0,0,1,0,67.0
"siddhi data villa, new booking",0.27,dum dum,3800.0,711.0,Super Built up area 719(66.8 sq.m.),2.0,2,1,0,South-East,Relatively New,North,719.0,,,0,0,0,0,1,0,67.0
siddhi data tower. cantonment,0.27,dum dum,3300.0,818.0,Super Built up area 825(76.65 sq.m.),2.0,2,1,4,South-East,Relatively New,North,825.0,,,0,0,0,0,1,0,31.0
"siddhi data villa, new booking",0.2,dum dum,3300.0,606.0,Super Built up area 600(55.74 sq.m.),2.0,1,0,4,South-West,Relatively New,North,600.0,,,0,0,0,0,0,0,25.0
"siddhi data villa, new booking",0.35,dum dum,3300.0,1061.0,Super Built up area 1048(97.36 sq.m.),2.0,2,1,4,North-West,Relatively New,North,1048.0,,,0,0,0,0,1,0,31.0
siddhi data tower.dumdum cantonment,0.35,dum dum,3300.0,1061.0,Super Built up area 1048(97.36 sq.m.),2.0,2,1,1,North-West,Relatively New,North,1048.0,,,0,0,0,0,1,0,73.0
"siddhi data villa, new booking",0.27,dum dum,3300.0,818.0,Super Built up area 825(76.65 sq.m.),2.0,2,1,4,North,Relatively New,North,825.0,,,0,0,0,0,1,0,65.0
shivam apartment barrackpore,0.47,barrackpore,2903.0,1619.0,Super Built up area 1636(151.99 sq.m.),3.0,2,1,3,South-West,Relatively New,North,1636.0,,,0,0,1,1,0,0,65.0
siddha happyville,0.68,rajarhat,6296.0,1080.0,Super Built up area 1080(100.34 sq.m.),2.0,2,1,6,South-East,Relatively New,East,1080.0,,,1,0,0,0,0,0,104.0
shelter appartment,0.25,barrackpore,2777.0,900.0,Super Built up area 900(83.61 sq.m.),2.0,2,2,4,South-East,Old Property,North,900.0,,,0,0,1,0,0,0,44.0
paradise home,0.28,behala,4179.0,670.0,Super Built up area 670(62.25 sq.m.),2.0,2,1,0,South,Relatively New,South,670.0,,,0,0,0,0,0,0,45.0
paradise home,0.43,behala,4396.0,978.0,Super Built up area 978(90.86 sq.m.),2.0,2,1,1,South-East,Relatively New,South,978.0,,,0,0,0,0,0,0,45.0
paradise home,0.34,behala,3820.0,890.0,Super Built up area 890(82.68 sq.m.),2.0,2,1,3,South,Relatively New,South,890.0,,,0,0,0,0,0,0,45.0
paradise home,0.27,behala,3802.0,710.0,Super Built up area 710(65.96 sq.m.),2.0,2,1,1,East,Relatively New,South,710.0,,,0,0,0,0,0,0,45.0
paradise home,0.34,behala,3863.0,880.0,Super Built up area 880(81.75 sq.m.),2.0,2,1,1,South,Relatively New,South,880.0,,,0,0,0,0,0,0,45.0
paradise home,0.42,behala,4307.0,975.0,Super Built up area 975(90.58 sq.m.),3.0,2,1,2,South-East,Relatively New,South,975.0,,,0,0,0,0,0,0,45.0
paradise home,0.26,behala,3513.0,740.0,Super Built up area 740(68.75 sq.m.),2.0,2,1,1,South,Moderately Old,South,740.0,,,0,0,0,0,0,0,38.0
paradise home,0.32,behala,4315.0,742.0,Super Built up area 730(67.82 sq.m.),2.0,2,1,1,South,Relatively New,South,730.0,,,0,0,0,0,0,0,45.0
paradise home,0.36,behala,4363.0,825.0,Super Built up area 825(76.65 sq.m.),2.0,2,1,3,South,Relatively New,South,825.0,,,0,0,0,0,0,0,45.0
paradise home,0.33,behala,4285.0,770.0,Super Built up area 770(71.54 sq.m.),2.0,2,1,3,South,Relatively New,South,770.0,,,0,0,0,0,0,0,45.0
paradise home,0.57,behala,4384.0,1300.0,Super Built up area 1300(120.77 sq.m.),3.0,3,1,1,North,Relatively New,South,1300.0,,,0,0,0,0,0,0,45.0
on request,0.45,em bypass,5235.0,860.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,2,South,Relatively New,South,850.0,,,0,0,0,0,1,0,0.0
on request,0.66,purbachal,4551.0,1450.0,Super Built up area 1450(134.71 sq.m.),3.0,2,1,2,North-West,Moderately Old,North,1450.0,,,0,0,0,0,0,0,38.0
on request,1.2,em bypass,6486.0,1850.0,Super Built up area 1850(171.87 sq.m.),3.0,2,1,4,North-East,Moderately Old,South,1850.0,,,0,0,0,0,0,0,45.0
on request,0.85,em bypass,6746.0,1260.0,Super Built up area 1260(117.06 sq.m.),3.0,2,1,1,South-West,Moderately Old,North,1260.0,,,0,0,0,0,0,0,39.0
on request,0.75,anandapur,4901.0,1530.0,Super Built up area 1530(142.14 sq.m.),3.0,2,1,1,South,Moderately Old,South,1530.0,,,0,0,0,0,0,0,45.0
realtech nirman 16 aana,0.25,rajarhat,3703.0,675.0,Super Built up area 679(63.08 sq.m.),2.0,2,1,4,North-West,Relatively New,East,679.0,,,0,0,0,0,1,0,34.0
realtech nirman 16 aana,0.27,rajarhat,3580.0,754.0,Super Built up area 754(70.05 sq.m.),2.0,2,1,2,East,Relatively New,East,754.0,,,0,0,0,0,1,0,34.0
realtech nirman 16 aana,0.54,rajarhat,3707.0,1457.0,Super Built up area 1462(135.82 sq.m.),3.0,2,2,2,East,Relatively New,East,1462.0,,,0,0,0,0,1,0,33.0
on request,1.05,haltu,7000.0,1500.0,Super Built up area 1500(139.35 sq.m.),3.0,2,1,4,South-East,Relatively New,South,1500.0,,,0,0,0,0,0,0,45.0
paradise home,0.26,behala,3473.0,749.0,Super Built up area 750(69.68 sq.m.),2.0,1,1,0,North,Relatively New,South,750.0,,,0,0,0,0,0,0,32.0
paradise home,0.26,behala,3480.0,747.0,Super Built up area 750(69.68 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,1,1,0,South,Relatively New,South,750.0,,700.0,0,0,0,0,0,0,54.0
paradise home,0.17,behala,3888.0,437.0,Super Built up area 450(41.81 sq.m.),1.0,1,1,1,South-West,Relatively New,South,450.0,,,0,0,0,0,0,0,39.0
paradise home,0.29,behala,3333.0,870.0,Super Built up area 870(80.83 sq.m.),2.0,2,1,0,North-West,Relatively New,South,870.0,,,0,0,0,0,0,0,45.0
mahendra bhawan,0.29,rajarhat,3524.0,823.0,Super Built up area 820(76.18 sq.m.),2.0,2,1,1,West,Relatively New,East,820.0,,,0,0,0,0,0,0,89.0
mahendra bhawan,0.32,rajarhat,3595.0,890.0,Super Built up area 890(82.68 sq.m.),2.0,2,1,3,South-East,Relatively New,East,890.0,,,0,0,0,0,0,0,89.0
paradise home,0.57,behala,4935.0,1155.0,Super Built up area 1155(107.3 sq.m.),3.0,2,1,3,North,Relatively New,South,1155.0,,,0,0,0,0,0,0,45.0
paradise home,0.36,behala,4285.0,840.0,Super Built up area 840(78.04 sq.m.),2.0,2,1,1,North-East,Relatively New,South,840.0,,,0,0,0,0,0,0,39.0
paradise home,0.45,behala,4500.0,1000.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),3.0,2,1,1,South-West,Relatively New,South,1000.0,,950.0,0,0,1,0,0,0,53.0
"on request,new booking",0.26,rajarhat,3058.0,850.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,4,North,Relatively New,East,850.0,,,0,0,0,0,0,0,41.0
om apartment,0.68,behala,5037.0,1350.0,Super Built up area 1350(125.42 sq.m.),3.0,2,1,2,North,Relatively New,South,1350.0,,,0,0,0,0,0,0,39.0
bina apartment,0.6,rajarhat,3529.0,1700.0,Super Built up area 1700(157.94 sq.m.),3.0,2,1,3,South-East,Relatively New,East,1700.0,,,0,0,0,0,0,0,53.0
bina niketan 2,0.28,rajarhat,3257.0,860.0,Super Built up area 875(81.29 sq.m.),2.0,2,1,3,South-West,Relatively New,East,875.0,,,0,0,0,0,0,0,53.0
bina niketan 2,0.37,rajarhat,3252.0,1138.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,2,East,Relatively New,East,1150.0,,,0,0,0,0,0,0,53.0
bina niketan 2,0.3,rajarhat,3260.0,920.0,Super Built up area 920(85.47 sq.m.),2.0,2,1,2,South,Relatively New,East,920.0,,,0,0,0,0,0,0,66.0
bina niketan 2,0.25,rajarhat,3285.0,761.0,Super Built up area 770(71.54 sq.m.),2.0,2,1,2,South-West,Relatively New,East,770.0,,,0,0,0,0,0,0,52.0
sadhanalay apartment,0.3,rajarhat,2899.0,1035.0,Super Built up area 1045(97.08 sq.m.),2.0,2,1,4,South,Relatively New,East,1045.0,,,0,0,0,0,0,0,50.0
silver green,0.26,rajarhat,2914.0,892.0,Super Built up area 875(81.29 sq.m.),2.0,2,0,1,North,Relatively New,East,875.0,,,0,0,1,0,0,0,40.0
bina niketan 2,0.27,rajarhat,3100.0,871.0,Super Built up area 875(81.29 sq.m.),2.0,2,1,3,South-West,Relatively New,East,875.0,,,0,0,1,0,0,0,23.0
bina niketan 2,0.36,rajarhat,3100.0,1161.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,1,North-East,Relatively New,East,1150.0,,,0,0,1,0,0,0,23.0
mahendra bhawan,0.28,rajarhat,3400.0,824.0,Super Built up area 832(77.3 sq.m.),2.0,2,1,2,North-East,Relatively New,East,832.0,,,0,0,1,0,0,0,22.0
mahendra bhawan,0.28,rajarhat,3402.0,823.0,Super Built up area 820(76.18 sq.m.),2.0,2,1,3,North-West,Relatively New,East,820.0,,,0,0,1,0,0,0,22.0
on request,0.5,anandpur,4237.0,1180.0,Super Built up area 1180(109.63 sq.m.),3.0,2,1,3,East,Moderately Old,South,1180.0,,,0,0,0,0,1,0,35.0
mahendra bhawan,0.29,rajarhat,3400.0,853.0,Super Built up area 840(78.04 sq.m.),2.0,2,1,4,North-West,Relatively New,East,840.0,,,0,0,1,0,0,0,70.0
on request,0.55,anandapur,4782.0,1150.0,Super Built up area 1150(106.84 sq.m.),3.0,2,2,1,South-West,Moderately Old,South,1150.0,,,0,0,0,0,1,0,36.0
on request,0.55,pr,4782.0,1150.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,2,South,Relatively New,South,1150.0,,,0,0,0,0,1,0,7.0
sashwati niwas,0.58,madurdaha,4662.0,1244.0,Super Built up area 1244(115.57 sq.m.),3.0,2,2,1,South-West,Relatively New,South,1244.0,,,0,0,0,0,1,2,20.0
on request,0.69,kalikapur,5500.0,1255.0,Super Built up area 1260(117.06 sq.m.),3.0,2,1,1,South,Relatively New,South,1260.0,,,0,0,0,0,1,0,7.0
standalone building,0.8,kalikapur,6250.0,1280.0,Super Built up area 1280(118.92 sq.m.),3.0,2,1,2,South,Relatively New,South,1280.0,,,0,0,0,0,0,0,60.0
on request,0.75,em bypass,5725.0,1310.0,Super Built up area 1310(121.7 sq.m.),3.0,2,2,1,South-West,Relatively New,South,1310.0,,,0,0,0,0,1,0,7.0
on request,0.51,pr,6000.0,850.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,1,South-West,Relatively New,South,850.0,,,0,0,0,0,1,0,7.0
on request,0.6,nandan kanan,5357.0,1120.0,Super Built up area 1120(104.05 sq.m.),3.0,2,1,2,South-East,Relatively New,South,1120.0,,,0,0,0,0,1,0,7.0
on request,0.18,anandapur,3956.0,455.0,Super Built up area 455(42.27 sq.m.),1.0,1,1,0,East,Relatively New,South,455.0,,,0,0,0,0,1,0,6.0
on request,0.85,santoshpur,6513.0,1305.0,Super Built up area 1305(121.24 sq.m.),3.0,2,1,3,North-West,Relatively New,South,1305.0,,,0,0,0,0,1,0,13.0
on request,0.45,anandapur,5000.0,900.0,Super Built up area 900(83.61 sq.m.),2.0,2,1,1,South-East,Relatively New,South,900.0,,,0,0,0,0,1,0,7.0
on request,0.98,em bypass,5764.0,1700.0,Super Built up area 1700(157.94 sq.m.),3.0,2,1,4,South,Relatively New,South,1700.0,,,0,0,0,0,1,0,7.0
on request,1.45,anandapur,5178.0,2800.0,Super Built up area 2800(260.13 sq.m.),4.0,3,1,4,East,Relatively New,South,2800.0,,,0,0,0,0,1,0,7.0
sharda homes,0.44,em bypass,5000.0,880.0,Super Built up area 874(81.2 sq.m.),2.0,2,1,2,East,Relatively New,South,874.0,,,0,0,0,0,0,0,85.0
sharda homes,0.49,em bypass,5572.0,879.0,Super Built up area 874(81.2 sq.m.),2.0,2,1,2,East,Relatively New,South,874.0,,,0,1,0,0,0,0,80.0
sharda homes,0.87,em bypass,5000.0,1740.0,Super Built up area 1740(161.65 sq.m.),3.0,3,1,1,South-East,Relatively New,South,1740.0,,,0,0,0,0,0,0,85.0
sd tower,0.3,dum dum,3800.0,789.0,Super Built up area 800(74.32 sq.m.),2.0,1,1,0,South-West,Relatively New,North,800.0,,,0,0,0,0,0,0,32.0
siddhidata apartment.nagerbazar.dumdum,0.19,dum dum,3800.0,500.0,Super Built up area 491(45.62 sq.m.),1.0,1,0,5,North,Relatively New,North,491.0,,,0,0,0,0,1,0,67.0
sd tower,0.21,dum dum,3800.0,553.0,Super Built up area 554(51.47 sq.m.),1.0,1,1,5,West,Relatively New,North,554.0,,,0,0,0,0,1,0,74.0
s d apartment,0.16,dum dum,3800.0,421.0,Super Built up area 421(39.11 sq.m.),1.0,1,0,3,South-East,Relatively New,North,421.0,,,0,0,0,0,1,0,67.0
siddhi data tower,0.27,dum dum,3799.0,711.0,Super Built up area 719(66.8 sq.m.),2.0,2,1,0,South-East,Relatively New,North,719.0,,,0,0,0,0,0,0,25.0
on request,0.58,krishnapur,4700.0,1234.0,Super Built up area 1234(114.64 sq.m.),3.0,2,1,4,South-East,Relatively New,North,1234.0,,,0,0,0,0,0,0,31.0
bina niketan 2,0.39,rajarhat,3391.0,1150.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,2,North-East,Relatively New,East,1150.0,,,0,0,0,0,0,0,15.0
bina niketan 2,0.29,rajarhat,3314.0,875.0,Super Built up area 875(81.29 sq.m.),2.0,2,1,2,North,Relatively New,East,875.0,,,0,0,0,0,0,0,59.0
arihant garden,0.4,rajarhat,3942.0,1015.0,Super Built up area 1002(93.09 sq.m.),2.0,2,1,1,North-East,Relatively New,East,1002.0,,,0,0,0,0,0,0,81.0
magnolia oxygen,0.45,rajarhat,4536.0,992.0,Super Built up area 992(92.16 sq.m.),2.0,2,1,6,South-West,Relatively New,East,992.0,,,0,0,0,0,0,0,104.0
magnolia oxygen,0.65,rajarhat,5204.0,1249.0,Super Built up area 1249(116.04 sq.m.),3.0,2,1,3,South-East,Relatively New,East,1249.0,,,0,0,0,0,0,0,104.0
kalibari housing,0.4,rajarhat,4287.0,933.0,Super Built up area 933(86.68 sq.m.)Carpet area: 722 sq.ft. (67.08 sq.m.),2.0,2,1,1,North-West,Relatively New,East,933.0,,722.0,0,0,0,0,0,0,97.0
siddha happyville,0.88,rajarhat,6956.0,1265.0,Super Built up area 1265(117.52 sq.m.),3.0,3,1,16,North,Relatively New,East,1265.0,,,0,0,0,0,0,0,104.0
siddha happyville,0.64,rajarhat,6564.0,975.0,Super Built up area 975(90.58 sq.m.),2.0,2,1,5,South-West,Relatively New,East,975.0,,,0,0,0,0,0,2,112.0
realtech nirman bela,0.28,rajarhat,4612.0,607.0,Super Built up area 607(56.39 sq.m.)Carpet area: 474 sq.ft. (44.04 sq.m.),2.0,2,1,4,North,Relatively New,East,607.0,,474.0,0,0,0,0,1,2,34.0
realtech nirman bela,0.3,rajarhat,3947.0,760.0,Super Built up area 760(70.61 sq.m.),2.0,2,1,2,North-West,Relatively New,East,760.0,,,0,0,0,0,1,0,41.0
siddha happyville,0.89,rajarhat,7035.0,1265.0,Super Built up area 1265(117.52 sq.m.),3.0,2,1,3,North-West,Relatively New,East,1265.0,,,0,0,0,0,0,0,104.0
abani apartment barrackpore,0.51,barrackpore,3700.0,1378.0,Super Built up area 1365(126.81 sq.m.),3.0,2,1,2,South-East,Relatively New,North,1365.0,,,1,0,0,1,1,0,39.0
paradise home,0.34,behala,4311.0,789.0,Super Built up area 777(72.19 sq.m.)Carpet area: 717 sq.ft. (66.61 sq.m.),2.0,2,1,2,East,Relatively New,South,777.0,,717.0,0,1,0,0,1,0,21.0
paradise  home,0.34,behala,3777.0,900.0,Super Built up area 900(83.61 sq.m.)Carpet area: 817 sq.ft. (75.9 sq.m.),2.0,2,1,1,South,Relatively New,South,900.0,,817.0,0,1,0,0,1,0,19.0
paradise  home,0.33,behala,3892.0,848.0,Super Built up area 835(77.57 sq.m.),2.0,2,1,2,North,Relatively New,South,835.0,,,0,0,0,0,0,0,45.0
on request,0.28,tollygunge,3599.0,778.0,Super Built up area 764(70.98 sq.m.),2.0,2,1,0,South-East,Relatively New,South,764.0,,,0,0,0,0,1,0,0.0
on request,0.28,tollygunge,3664.0,764.0,Super Built up area 764(70.98 sq.m.),2.0,2,1,1,West,Relatively New,South,764.0,,,0,0,0,0,1,0,0.0
arch starwood,1.21,ch,8649.0,1399.0,Super Built up area 1399(129.97 sq.m.),3.0,2,1,1,North-West,Relatively New,East,1399.0,,,0,0,0,0,0,0,132.0
arihant villa,0.27,rajarhat,3417.0,790.0,Super Built up area 790(73.39 sq.m.),2.0,2,1,4,East,Relatively New,East,790.0,,,0,0,0,0,0,0,13.0
labanya apartment,0.37,rajarhat,3372.0,1097.0,Super Built up area 1097(101.91 sq.m.),3.0,2,1,4,North,Relatively New,East,1097.0,,,0,0,0,0,0,0,45.0
new apartment,0.22,baguiati,2800.0,786.0,Super Built up area 792(73.58 sq.m.),2.0,2,1,1,North-East,Relatively New,North,792.0,,,0,0,0,0,0,0,26.0
on request,0.2,baguiati,2800.0,714.0,Super Built up area 718(66.7 sq.m.),2.0,2,1,3,South-East,Relatively New,North,718.0,,,0,0,0,0,0,0,31.0
new apartment,0.32,baguiati baguiati,2800.0,1143.0,Super Built up area 1130(104.98 sq.m.),3.0,2,1,2,North-West,Relatively New,North,1130.0,,,0,0,0,0,0,0,31.0
jagannath apartment,0.31,behala,3595.0,862.0,Super Built up area 857(79.62 sq.m.),2.0,2,1,3,South-West,Relatively New,South,857.0,,,0,0,1,0,0,0,61.0
uttara tritiya,1.65,new town,6346.0,2600.0,Super Built up area 2600(241.55 sq.m.),3.0,4,3+,7,South,Moderately Old,East,2600.0,,,0,1,0,1,0,0,110.0
surjodoy apartment,0.35,silpara,3349.0,1045.0,Super Built up area 1050(97.55 sq.m.),3.0,2,1,3,South-West,Relatively New,South,1050.0,,,0,0,1,0,0,0,61.0
uniworld city,1.55,new town,9996.0,1551.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 1661.25 sq.ft. (154.34 sq.m.)Carpet area: 1550.5 sq.ft. (144.05 sq.m.),3.0,3,2,10,,Moderately Old,East,2215.0,1661.25,1550.5,0,1,0,0,0,0,168.0
mani casa,1.45,new town,10000.0,1450.0,Super Built up area 1450(134.71 sq.m.)Built Up area: 1088 sq.ft. (101.08 sq.m.)Carpet area: 1015 sq.ft. (94.3 sq.m.),3.0,2,1,8,South-West,Moderately Old,East,1450.0,1088.0,1015.0,0,0,0,0,0,0,93.0
dlf new town heights,0.72,new town,5727.0,1257.0,Super Built up area 1257(116.78 sq.m.)Built Up area: 942 sq.ft. (87.51 sq.m.)Carpet area: 879 sq.ft. (81.66 sq.m.),2.0,2,1,2,East,Relatively New,East,1257.0,942.0,879.0,0,0,0,0,0,0,221.0
anik one rajarhat,1.4,new town,18918.0,740.0,Super Built up area 1244(115.57 sq.m.)Built Up area: 908 sq.ft. (84.36 sq.m.)Carpet area: 740 sq.ft. (68.75 sq.m.),2.0,2,2,12,North-West,Relatively New,East,1244.0,908.0,740.0,0,0,0,0,0,0,172.0
siddha town,0.58,rajarhat,4187.0,1385.0,Super Built up area 1385(128.67 sq.m.),3.0,2,1,2,East,Moderately Old,East,1385.0,,,0,0,0,1,0,0,124.0
ambika icon,0.75,tollygunge,8152.0,920.0,Super Built up area 920(85.47 sq.m.),2.0,2,1,4,South-East,Relatively New,South,920.0,,,0,0,0,0,1,0,54.0
tirupati paradise,0.4,narendrapur,3824.0,1046.0,Super Built up area 1046(97.18 sq.m.),2.0,2,1,1,North-East,Relatively New,South,1046.0,,,0,0,0,0,1,0,104.0
charuchhaya,0.22,narendrapur,3384.0,650.0,Super Built up area 650(60.39 sq.m.),2.0,2,1,1,North-East,Relatively New,South,650.0,,,0,0,0,0,1,0,54.0
mission niketan,0.39,sonarpur,3846.0,1014.0,Super Built up area 1001(93 sq.m.),3.0,2,1,3,South-West,Relatively New,South,1001.0,,,0,0,0,0,1,0,54.0
tirupati paradise,0.46,narendrapur,3852.0,1194.0,Super Built up area 1194(110.93 sq.m.),3.0,2,1,3,South-East,Relatively New,South,1194.0,,,0,0,0,0,0,0,54.0
smriti subha,0.32,naktala,4266.0,750.0,Super Built up area 750(69.68 sq.m.),2.0,2,1,3,South-West,Moderately Old,South,750.0,,,0,0,0,0,0,0,32.0
raj rajeshwari apartment,0.35,kamalgazi,4500.0,778.0,Super Built up area 775(72 sq.m.),2.0,2,1,4,North-East,Relatively New,South,775.0,,,0,0,0,0,0,0,81.0
siddha happyville,0.85,rajarhat,6719.0,1265.0,Super Built up area 1265(117.52 sq.m.)Built Up area: 948 sq.ft. (88.07 sq.m.)Carpet area: 902 sq.ft. (83.8 sq.m.),3.0,3,1,2,West,Relatively New,East,1265.0,948.0,902.0,0,0,0,0,0,0,212.0
rameswara waterview,0.38,chotto chandpur,4198.0,905.0,Super Built up area 905(84.08 sq.m.)Built Up area: 679 sq.ft. (63.08 sq.m.),2.0,2,1,2,East,Moderately Old,East,905.0,679.0,,0,0,0,0,0,0,149.0
elita garden vista,1.0,new town,7407.0,1350.0,Super Built up area 1350(125.42 sq.m.)Built Up area: 1107 sq.ft. (102.84 sq.m.)Carpet area: 996 sq.ft. (92.53 sq.m.),2.0,2,1,23,South-East,Moderately Old,East,1350.0,1107.0,996.0,0,0,0,1,0,2,90.0
amarana residences,0.87,tangra,9344.0,931.0,Super Built up area 931(86.49 sq.m.),2.0,2,1,2,South-East,New Property,East,931.0,,,0,0,0,0,1,0,54.0
on request,0.44,narendrapur,5238.0,840.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,2,North-East,Relatively New,South,850.0,,,0,0,0,0,1,0,84.0
on request,3.95,ballygunge,15116.0,2613.0,Super Built up area 2613(242.76 sq.m.),3.0,3,3,5,South,Old Property,South,2613.0,,,0,1,0,0,0,0,46.0
on request new alipore,4.69,alipore,13500.0,3474.0,Super Built up area 3474(322.75 sq.m.),4.0,4,2,2,South,Relatively New,South,3474.0,,,0,0,0,0,1,0,35.0
standalone building,0.21,sarsuna,2964.0,709.0,Super Built up area 700(65.03 sq.m.),2.0,2,1,0,North-West,Relatively New,South,700.0,,,0,0,0,0,0,0,53.0
standalone building,0.33,behala,3500.0,943.0,Super Built up area 950(88.26 sq.m.),2.0,2,1,3,North-East,Relatively New,South,950.0,,,0,0,0,0,1,0,59.0
residential apartment,0.41,barisha,4050.0,1012.0,Super Built up area 1000(92.9 sq.m.),3.0,2,1,3,South-West,Relatively New,South,1000.0,,,0,0,0,0,1,0,65.0
residential apartment,0.23,bakultala,2705.0,850.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,2,South-East,Moderately Old,South,850.0,,,0,0,0,0,1,0,58.0
mayfair oasis,0.4,ramchandrapur,3252.0,1230.0,Super Built up area 1230(114.27 sq.m.),3.0,2,1,2,North-East,Relatively New,South,1230.0,,,0,0,0,0,0,0,22.0
sreeram,0.71,bansdroni,5358.0,1325.0,Super Built up area 1325(123.1 sq.m.),3.0,2,1,3,South,New Property,South,1325.0,,,0,0,0,0,0,0,7.0
chandi ghosh road,0.65,tollygunge,6500.0,1000.0,Super Built up area 1000(92.9 sq.m.),3.0,2,1,2,South,New Property,South,1000.0,,,0,0,0,0,0,0,15.0
sadhanjali apartment,0.42,bansdroni,4516.0,930.0,Super Built up area 930(86.4 sq.m.),2.0,2,0,1,South,Relatively New,South,930.0,,,0,0,0,0,0,0,21.0
on request,0.68,jogendra garden,6181.0,1100.0,Super Built up area 1100(102.19 sq.m.),3.0,2,1,2,North-East,New Property,South,1100.0,,,0,0,0,0,0,0,53.0
magnolia prestige,0.43,bishnupur,3372.0,1275.0,Super Built up area 1275(118.45 sq.m.),3.0,2,3,4,North-West,Relatively New,North,1275.0,,,0,0,0,0,1,0,43.0
on request,0.29,rajarhat,2950.0,983.0,Super Built up area 983(91.32 sq.m.),2.0,2,1,3,West,Relatively New,East,983.0,,,0,0,0,0,1,0,35.0
atree,1.15,new town,4600.0,2500.0,Super Built up area 2500(232.26 sq.m.),6.0,4,2,4,South,Relatively New,East,2500.0,,,0,0,0,0,1,0,7.0
sova apartment,0.61,new town,4880.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,2,2,1,East,Relatively New,East,1250.0,,,0,0,0,0,1,0,7.0
45by22 moor avenue,0.55,tollygunge,4435.0,1240.0,Super Built up area 1240(115.2 sq.m.),3.0,2,1,3,South,Old Property,South,1240.0,,,0,0,0,0,0,0,7.0
on request,1.15,jodhpur park,9000.0,1278.0,Super Built up area 1275(118.45 sq.m.),3.0,2,2,2,North-East,New Property,South,1275.0,,,0,0,0,0,0,0,39.0
magnolia oxygen,0.43,rajarhat,4849.0,887.0,Super Built up area 897(83.33 sq.m.),2.0,2,1,6,South-East,New Property,East,897.0,,,0,0,0,0,0,0,48.0
