society,price,place,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
north view apartment,0.36,behala,6636.0,542.0,Super Built up area 810(75.25 sq.m.)Built Up area: 650 sq.ft. (60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2,1,1,North-East,New Property,South,810.0,650.0,550.0,0,0,0,0,0,0,6.0
swarnabhoomi,0.79,santragachi,3115.0,2536.0,Super Built up area 2520(234.12 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),5.0,4,2,2,,New Property,West,2520.0,,1800.0,0,0,0,0,0,0,22.0
manmatha bhavan,0.3,ichapore,4615.0,650.0,Super Built up area 820(76.18 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2.0,2,1,3,,Relatively New,North,820.0,,650.0,0,0,0,0,0,2,0.0
airport tower,0.38,italgacha,3977.0,955.0,Super Built up area 880(81.75 sq.m.),2.0,2,1,2,South-West,Moderately Old,North,880.0,,,0,0,0,0,0,0,14.0
srijan eternia,0.6,madhyamgram,5687.0,1055.0,Super Built up area 1267(117.71 sq.m.)Carpet area: 1055 sq.ft. (98.01 sq.m.),3.0,2,1,7,South,New Property,North,1267.0,,1055.0,0,0,0,0,0,0,161.0
ideal aurum,0.61,kamalgazi,5191.0,1175.0,Super Built up area 1175(109.16 sq.m.)Carpet area: 782 sq.ft. (72.65 sq.m.),3.0,2,1,14,South-East,New Property,South,1175.0,,782.0,0,0,0,0,0,0,29.0
hiland greens,0.35,maheshtala,4915.0,712.0,Super Built up area 712(66.15 sq.m.),2.0,2,1,8,North-East,Relatively New,South,712.0,,,0,0,0,0,1,0,72.0
eden city,0.6,behala,3412.0,1758.0,Super Built up area 1524(141.58 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),3.0,3,1,12,South-East,Relatively New,South,1524.0,,1410.0,0,0,0,1,0,0,95.0
sharda garden,0.28,joka,2886.0,970.0,Super Built up area 970(90.12 sq.m.),2.0,2,2,3,,Old Property,South,970.0,,,0,0,0,0,0,0,0.0
the banyan tree garden,0.77,new town,8622.0,893.0,Super Built up area 1145(106.37 sq.m.)Carpet area: 893 sq.ft. (82.96 sq.m.),3.0,2,1,5,South-East,New Property,East,1145.0,,893.0,0,0,0,0,0,0,60.0
realtech gharoa,0.56,rajarhat,7000.0,800.0,Super Built up area 1188(110.37 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),3.0,2,1,3,North-West,Moderately Old,East,1188.0,,800.0,0,0,0,0,0,1,85.0
mayfair green wood,0.25,malancha mahi nagar,3472.0,720.0,Super Built up area 720(66.89 sq.m.),2.0,2,0,1,North,Relatively New,South,720.0,,,0,0,0,0,0,2,7.0
ghadhuli apartment,0.46,bagha jat,4000.0,1150.0,Super Built up area 1020(94.76 sq.m.),2.0,2,1,4,South-East,Old Property,South,1020.0,,,0,0,0,0,0,0,32.0
naramada apartment,0.33,dum dum,4004.0,824.0,Super Built up area 824(76.55 sq.m.),2.0,2,1,3,South-West,Old Property,North,824.0,,,0,0,0,0,0,2,19.0
godrej prakriti,0.8,sodepur,5500.0,1455.0,Super Built up area 1359(126.26 sq.m.),3.0,2,2,10,South-West,Moderately Old,North,1359.0,,,0,0,1,0,0,2,100.0
siddha town,0.31,rajarhat,3935.0,788.0,Super Built up area 780(72.46 sq.m.)Carpet area: 630 sq.ft. (58.53 sq.m.),2.0,2,1,4,South-East,New Property,East,780.0,,630.0,0,0,0,0,0,2,107.0
ideal aquaview,0.85,new town,7870.0,1080.0,Super Built up area 1080(100.34 sq.m.),3.0,2,1,5,,New Property,East,1080.0,,,0,0,0,0,0,1,105.0
meena ganga apartment,0.75,krishnapur,5365.0,1398.0,Super Built up area 1230(114.27 sq.m.),3.0,2,1,5,South-East,Old Property,North,1230.0,,,0,0,0,0,0,2,6.0
sivanand apartment,0.3,nayabad,3076.0,975.0,Super Built up area 975(90.58 sq.m.),2.0,2,2,2,,Moderately Old,South,975.0,,,0,0,0,0,0,0,0.0
eden pavilion,0.65,fartabad,5118.0,1270.0,Super Built up area 1270(117.99 sq.m.),3.0,2,1,1,South,Moderately Old,South,1270.0,,,0,0,0,0,0,0,71.0
sunity apartment,0.28,garia,3200.0,875.0,Super Built up area 1000(92.9 sq.m.),2.0,2,1,2,East,Moderately Old,South,1000.0,,,0,0,0,0,0,0,6.0
ideal enclave,0.75,bablatala,6382.0,1175.0,Super Built up area 1175(109.16 sq.m.),2.0,2,1,5,,Moderately Old,East,1175.0,,,0,0,0,0,0,2,112.0
shantikunja flat,0.19,garia,3800.0,500.0,Super Built up area 500(46.45 sq.m.),2.0,1,1,3,,Old Property,South,500.0,,,0,0,0,0,0,0,0.0
upasana,0.42,sahapur,4421.0,950.0,Super Built up area 950(88.26 sq.m.),2.0,2,0,0,East,Old Property,South,950.0,,,0,0,0,0,0,0,0.0
ps panache,1.75,salt lake,12315.0,1421.0,Super Built up area 1421(132.02 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,2,1,19,East,Relatively New,North,1421.0,,1000.0,0,0,1,0,0,2,141.0
