place,bedRoom,bathroom,balcony,facing,agePossession,Direction,built_up_area,servant room,furnishing_type,luxury_category,floor_category,price
1.0,3.0,3.0,1.0,4.0,3.0,2.0,1497.0,0.0,0.0,2.0,1.0,1.85
126.0,3.0,2.0,1.0,4.0,3.0,0.0,982.0,1.0,0.0,2.0,0.0,1.5
126.0,4.0,3.0,1.0,4.0,3.0,0.0,1610.0,1.0,0.0,2.0,0.0,2.0
1.0,3.0,3.0,1.0,4.0,0.0,2.0,1647.0,1.0,0.0,2.0,2.0,1.75
1.0,4.0,5.0,1.0,4.0,3.0,2.0,3080.0,1.0,0.0,2.0,2.0,4.75
123.0,4.0,3.0,2.0,5.0,3.0,2.0,2311.0,0.0,0.0,2.0,2.0,2.98
1.0,4.0,5.0,2.0,4.0,3.0,2.0,2566.0,1.0,0.0,2.0,0.0,4.35
1.0,5.0,5.0,4.0,4.0,0.0,2.0,2994.0,1.0,0.0,2.0,0.0,2.7
36.0,2.0,2.0,1.0,4.0,3.0,2.0,754.0,0.0,0.0,1.0,2.0,0.45
36.0,2.0,2.0,1.0,4.0,3.0,2.0,813.0,0.0,0.0,1.0,0.0,0.5
36.0,2.0,2.0,1.0,7.0,3.0,2.0,728.0,0.0,0.0,1.0,1.0,0.45
36.0,2.0,2.0,1.0,7.0,3.0,2.0,754.0,0.0,0.0,1.0,2.0,0.45
36.0,2.0,2.0,1.0,4.0,3.0,2.0,753.0,0.0,0.0,1.0,2.0,0.45
36.0,3.0,2.0,1.0,4.0,3.0,2.0,984.0,0.0,0.0,1.0,2.0,0.75
36.0,2.0,2.0,1.0,4.0,3.0,2.0,831.0,0.0,0.0,1.0,0.0,0.5
36.0,3.0,2.0,1.0,7.0,3.0,2.0,1014.0,0.0,0.0,1.0,0.0,0.68
36.0,3.0,2.0,1.0,3.0,3.0,2.0,1099.0,0.0,0.0,1.0,2.0,0.7
72.0,3.0,3.0,1.0,2.0,1.0,1.0,881.0,0.0,0.0,2.0,1.0,0.46
121.0,2.0,2.0,2.0,6.0,0.0,1.0,800.0,0.0,0.0,1.0,2.0,0.23
64.0,2.0,2.0,1.0,5.0,1.0,1.0,659.0,0.0,0.0,1.0,0.0,0.3
121.0,3.0,2.0,1.0,5.0,3.0,1.0,942.0,0.0,2.0,1.0,0.0,0.58
118.0,3.0,3.0,1.0,5.0,1.0,3.0,780.0,0.0,0.0,1.0,0.0,0.52
121.0,2.0,2.0,2.0,2.0,1.0,1.0,830.0,0.0,0.0,1.0,2.0,0.28
121.0,3.0,2.0,2.0,3.0,0.0,1.0,1163.0,0.0,1.0,1.0,0.0,0.65
109.0,2.0,2.0,1.0,3.0,3.0,1.0,843.0,0.0,0.0,2.0,1.0,0.65
72.0,2.0,2.0,1.0,6.0,3.0,1.0,1207.0,0.0,0.0,1.0,0.0,0.42
