society,price,place,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
fort oasis,2.5,ballygunge,19230.0,3.0,2.0,1,5.0,South-East,Moderately Old,South,1414.0,0.0,0.0,0.0,0.0,0.0,1.0,139.0
on request,0.7,ultadanga,5982.0,3.0,2.0,1,4.0,South-East,Old Property,North,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on request,0.58,sodepur,5979.0,3.0,3.0,3,3.0,South-East,Relatively New,North,1125.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0
ideal aquaview,0.71,new town,7176.0,2.0,2.0,1,3.0,North-East,New Property,East,924.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0
balaka apartment,1.5,dum dum,7727.0,3.0,3.0,3,7.0,South-East,New Property,North,1882.0,1.0,0.0,0.0,1.0,0.0,1.0,41.0
prince anwar shah,1.2,pr,9230.0,3.0,3.0,1,3.0,North-West,Old Property,South,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
elanta,4.0,ballygunge,12000.0,4.0,4.0,2,1.0,West,New Property,South,2328.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0
siddha eden lake ville,0.9,bonhooghly,10000.0,3.0,3.0,1,11.0,South-East,Relatively New,North,1000.0,0.0,0.0,0.0,0.0,0.0,2.0,118.0
skyline harmony,0.9,garia,7468.0,3.0,2.0,1,3.0,North-West,Moderately Old,South,1031.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0
aashiyana complex,0.52,narayanpur,4740.0,3.0,2.0,1,2.0,North,Relatively New,North,938.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
unimark springfield,0.85,rajarhat,6273.0,3.0,2.0,1,9.0,North-East,New Property,East,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
diamond city south,1.3,tollygunge,9059.0,3.0,2.0,1,19.0,North-East,Old Property,South,1105.0,0.0,0.0,0.0,0.0,1.0,0.0,123.0
ideal regency,0.81,behala,5500.0,3.0,2.0,1,9.0,North,Moderately Old,South,1148.0,0.0,0.0,0.0,0.0,0.0,2.0,153.0
divine,0.41,new garia,4500.0,2.0,2.0,1,3.0,North,Relatively New,South,684.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
kalindi housing estate,0.62,kal,5719.0,3.0,2.0,1,4.0,North,Moderately Old,North,924.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
kendriya vihar phase 2,0.75,khalisha kota,4662.0,3.0,3.0,3,2.0,South,Relatively New,North,1457.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
pratiksha apartments.,0.68,behala,5647.0,3.0,2.0,2,5.0,South,New Property,South,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
magnolia city,0.34,barasat,3090.0,3.0,2.0,1,1.0,East,Moderately Old,North,941.0,0.0,0.0,0.0,0.0,0.0,2.0,106.0
deb bhumi apartment,0.26,dum dum,3586.0,2.0,2.0,1,4.0,North-East,New Property,North,625.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
classic enclave,0.58,ballygunge,6444.0,2.0,2.0,1,2.0,North-East,Relatively New,South,770.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
mandakranta apartments,0.65,behala,5245.0,4.0,2.0,2,2.0,South-West,Old Property,South,1289.0,1.0,0.0,0.0,1.0,1.0,0.0,24.0
asha kiran apartments,0.65,krishnapur,4777.0,3.0,2.0,1,4.0,North-West,Old Property,North,1155.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0
mayfair palms,0.38,sonarpur,4691.0,2.0,2.0,2,3.0,North,Moderately Old,South,928.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
panchavati complex,0.4,kaikhali,4678.0,2.0,2.0,1,2.0,East,Old Property,North,722.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0
"neelisha apartment, southern bypass",0.32,narendrapur,3499.0,2.0,2.0,1,2.0,East,New Property,South,791.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
on request,0.31,behala,3647.0,1.0,1.0,1,3.0,East,Relatively New,South,748.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
gayatri apartment,0.33,krishnapur,3800.0,2.0,2.0,1,4.0,East,Moderately Old,North,731.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
karunamaya apartment,0.44,dum dum,6241.0,3.0,2.0,1,4.0,East,Old Property,North,925.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
sunbright residency,2.35,tollygunge,8794.0,4.0,3.0,3,4.0,South-West,Relatively New,South,2286.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
anukriti apartment,0.38,garia,2714.0,3.0,2.0,0,1.0,South-East,Old Property,South,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
uttarapan apartment,0.45,dum dum,4620.0,3.0,2.0,1,4.0,North-East,Relatively New,North,1072.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sagarika apartment,0.09,bhadrakali,2000.0,1.0,1.0,0,1.0,South-West,Moderately Old,West,360.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
basdroni,0.28,naktala,6292.0,2.0,1.0,0,0.0,South,Old Property,South,381.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
selimpur road,0.85,dhakuria,6049.0,3.0,2.0,1,1.0,South,Old Property,South,1270.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0
ideal regency,0.75,behala,5084.0,3.0,2.0,1,5.0,South-East,Moderately Old,South,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
siddha xanadu condominium,0.56,rajarhat,6030.0,2.0,2.0,1,9.0,South-East,Relatively New,East,851.0,0.0,0.0,0.0,0.0,1.0,0.0,81.0
siddha happyville,0.58,rajarhat,5846.0,2.0,2.0,1,19.0,South-East,Relatively New,East,791.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
7/3 chandra nath roy road,0.29,tiljala,4500.0,2.0,1.0,0,1.0,South,Old Property,South,556.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
on request new,0.46,nayabad,4181.0,3.0,2.0,1,2.0,South-East,Relatively New,South,941.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0
roop apartment,0.45,subodh garden,4390.0,3.0,2.0,2,0.0,South,Moderately Old,South,877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bengal peerless anupama housing complex,0.49,kaikhali,5148.0,3.0,2.0,1,0.0,South-East,Old Property,East,906.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0
subhasini abasan,0.3,garia,3454.0,2.0,2.0,1,2.0,West,Old Property,South,803.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0
falguni aparmnet,0.3,kalyani,4137.0,2.0,2.0,1,1.0,North,Old Property,North,620.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0
propterior,1.9,desopriya park,11543.0,3.0,3.0,1,1.0,East,Relatively New,South,1408.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
bijoy apartment,0.29,rajarhat,3500.0,2.0,2.0,1,4.0,North-West,Relatively New,East,720.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
bina niketan,0.36,rajarhat,3100.0,3.0,2.0,1,1.0,East,Relatively New,East,984.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
on request,0.24,dash drone,3000.0,2.0,2.0,1,2.0,West,Relatively New,East,698.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
swapnopuron dashdran,0.34,dash drone,3000.0,3.0,2.0,2,2.0,West,Relatively New,East,962.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
rudra jyangra battala,0.18,baguiati,2676.0,2.0,2.0,1,1.0,East,Relatively New,North,560.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
rudra jyangra battala,0.2,baguiati,2700.0,2.0,2.0,1,2.0,South,Relatively New,North,635.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
on request,0.19,baguiati,2697.0,2.0,2.0,1,3.0,South-West,Relatively New,North,614.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
rudra jyangra battala,0.3,baguiati,2698.0,3.0,2.0,1,2.0,North-East,Relatively New,North,967.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
blue sky jhilbagan,0.21,baguiati,2557.0,2.0,2.0,1,4.0,South-West,Relatively New,North,702.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
on request,0.23,baguiati,2652.0,2.0,2.0,1,1.0,West,Relatively New,North,742.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
on request,6.88,rowland row,21014.0,4.0,4.0,1,4.0,South,Moderately Old,South,2801.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0
on request,3.5,alipore,10086.0,4.0,4.0,1,2.0,South,Moderately Old,South,2968.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
on request,2.9,alipore,11600.0,4.0,4.0,1,3.0,South,Moderately Old,South,2139.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
merlin the one,1.5,tollygunge,11235.0,3.0,2.0,1,4.0,South,Relatively New,South,1142.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
southwinds,0.45,garia,4782.0,2.0,2.0,1,9.0,South-East,New Property,South,805.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
primarc southwinds,0.45,em bypass,4610.0,2.0,2.0,1,8.0,South-East,Relatively New,South,835.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0
southwinds,0.45,garia,4629.0,2.0,2.0,1,6.0,South-East,New Property,South,831.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0
primarc southwinds,0.46,em bypass,4661.0,2.0,2.0,1,6.0,South-East,New Property,South,835.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0
primarc southwinds,0.68,em bypass,5250.0,3.0,2.0,1,10.0,South,New Property,South,1108.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0
primarc southwinds,0.75,em bypass,5836.0,3.0,2.0,1,7.0,South-East,Relatively New,South,1099.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0
on request,3.95,southern avenue,16492.0,4.0,4.0,1,3.0,South,Relatively New,South,2049.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
on request new alipore,3.68,alipore,10514.0,5.0,5.0,2,4.0,South,Relatively New,South,2994.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
on request,1.85,alipore,10571.0,3.0,3.0,1,2.0,South,Relatively New,South,1497.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
flora fountain,1.5,tangra,11450.0,3.0,2.0,1,16.0,South,Relatively New,East,982.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0
flora fountain,2.0,tangra,10626.0,4.0,3.0,1,19.0,South,Relatively New,East,1610.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0
on request,1.75,alipore,9090.0,3.0,3.0,1,3.0,South,Moderately Old,South,1647.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0
on request,4.75,alipore,13194.0,4.0,5.0,1,7.0,South,Relatively New,South,3080.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0
on request,2.98,southern avenue,11028.0,4.0,3.0,2,5.0,South-East,Relatively New,South,2311.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
on request,4.35,alipore,14500.0,4.0,5.0,2,10.0,South,Relatively New,South,2566.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0
on request,2.7,alipore,7714.0,5.0,5.0,3+,9.0,South,Moderately Old,South,2994.0,0.0,1.0,1.0,0.0,0.0,0.0,54.0
southwinds,0.45,garia,5107.0,2.0,2.0,1,4.0,South,Relatively New,South,754.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
southwinds,0.5,garia,5263.0,2.0,2.0,1,9.0,South,Relatively New,South,813.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
southwinds,0.45,garia,5287.0,2.0,2.0,1,2.0,West,Relatively New,South,728.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
southwinds,0.45,garia,5119.0,2.0,2.0,1,7.0,West,Relatively New,South,754.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
southwinds,0.45,garia,5056.0,2.0,2.0,1,4.0,South,Relatively New,South,753.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
southwinds,0.75,garia,6521.0,3.0,2.0,1,6.0,South,Relatively New,South,984.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
southwinds,0.5,garia,5144.0,2.0,2.0,1,10.0,South,Relatively New,South,831.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
southwinds,0.68,garia,5738.0,3.0,2.0,1,11.0,West,Relatively New,South,1014.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
southwinds,0.7,garia,5447.0,3.0,2.0,1,7.0,North-West,Relatively New,South,1099.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
srijan eternia,0.46,madhyamgram,4291.0,3.0,3.0,1,2.0,North-East,New Property,North,881.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
npr waterside,0.23,sodepur,2513.0,2.0,2.0,2,4.0,South-West,Moderately Old,North,800.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0
siddha waterfront,0.3,khardah,3636.0,2.0,2.0,1,9.0,South-East,New Property,North,659.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
godrej prakriti,0.58,sodepur,5267.0,3.0,2.0,1,19.0,South-East,Relatively New,North,942.0,0.0,0.0,0.0,0.0,1.0,2.0,34.0
alcove new kolkata prayag,0.52,serampore,5000.0,3.0,3.0,1,24.0,South-East,New Property,West,780.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0
reliable swabhumi apartment,0.28,sodepur,2900.0,2.0,2.0,2,4.0,North-East,New Property,North,830.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0
godrej prakriti,0.65,sodepur,4782.0,3.0,2.0,2,19.0,North-West,Moderately Old,North,1163.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0
clubtown heights,0.65,rathtala,6598.0,2.0,2.0,1,2.0,North-West,Relatively New,North,843.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
aryan towers,0.42,madhyamgram,3127.0,2.0,2.0,1,10.0,South-West,Relatively New,North,1207.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0
on request,0.4,dum dum,3250.0,3.0,2.0,1,1.0,East,Relatively New,North,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
on request,0.45,mukundapur,4281.0,2.0,2.0,1,3.0,North,Relatively New,South,899.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
on request,0.46,mukundapur,4372.0,2.0,2.0,1,4.0,South,Relatively New,South,898.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
on requst,0.52,mukundapur,4101.0,3.0,2.0,1,1.0,North,Relatively New,South,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on request,0.62,ch,5016.0,3.0,2.0,1,3.0,North-West,Relatively New,East,1057.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.5,ch,5882.0,2.0,2.0,1,2.0,North-East,Relatively New,East,727.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.5,ch,5882.0,2.0,2.0,1,2.0,West,Relatively New,East,727.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.55,new town,5789.0,2.0,2.0,1,4.0,West,Relatively New,East,813.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.5,new town,5555.0,2.0,2.0,1,3.0,South-East,Relatively New,East,770.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.65,new town,5909.0,3.0,2.0,1,3.0,South-East,Relatively New,East,941.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.68,new town,5333.0,3.0,2.0,1,2.0,North-East,Relatively New,East,1091.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.5,new town,5549.0,2.0,2.0,1,3.0,East,Relatively New,East,771.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.53,new town,5888.0,2.0,2.0,1,4.0,South,Relatively New,East,770.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.71,new town,5440.0,3.0,2.0,1,4.0,South,Relatively New,East,1116.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.55,new town,6043.0,2.0,2.0,1,3.0,North-West,Relatively New,East,778.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.65,new town,5371.0,3.0,2.0,1,3.0,North-East,Relatively New,East,1035.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.7,new town,5384.0,3.0,2.0,1,4.0,North,Relatively New,East,1112.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.68,new town,5440.0,3.0,2.0,1,3.0,North-East,Relatively New,East,1069.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
eco nest,0.58,new town,5686.0,2.0,2.0,2,2.0,South,Relatively New,East,873.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
