society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
golden heights,0.75,sonarpur,9340.0,Carpet area: 802.98 (74.6 sq.m.),3.0,2,2,8,,New Property,South,,,802.9869399999999,0,0,0,0,0,0,39.0
swastik apartment,0.65,behala,6500.0,Built Up area: 1200 (111.48 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,2,0,1,,New Property,South,,1200.0,1000.0,0,0,0,0,0,2,68.0
nilachal complex,0.35,narendrapur,3428.0,Super Built up area 1050(97.55 sq.m.),3.0,2,1,1,South,Old Property,South,1050.0,,,0,0,0,0,0,0,34.0
puber alo apartment,0.25,new santoshpur,3612.0,Carpet area: 692 (64.29 sq.m.),2.0,2,1,3,East,Old Property,South,,,692.0,0,0,0,0,0,0,42.0
prasad residency,1.5,alipore,12605.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1270 sq.ft. (117.99 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),2.0,2,2,2,West,Old Property,South,1400.0,1270.0,1190.0,0,0,0,0,0,0,62.0
veer balaji crimson,0.48,behala,4343.0,Carpet area: 1105 (102.66 sq.m.),3.0,2,1,1,South,Moderately Old,South,,,1105.0,0,0,0,0,0,2,101.0
riya gitanjali,0.32,barrackpore,4848.0,Carpet area: 660 (61.32 sq.m.),2.0,2,1,1,South,Relatively New,North,,,660.0,0,0,0,0,0,0,90.0
green valley phase 2,0.4,ichapore,4000.0,Super Built up area 1176(109.25 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,2,2,1,South,Relatively New,North,1176.0,,1000.0,0,0,0,0,0,2,17.0
merlin uttara,0.39,konnagar,3488.0,Built Up area: 1118 (103.87 sq.m.)Carpet area: 890 sq.ft. (82.68 sq.m.),3.0,2,1,1,North,Moderately Old,West,,1118.0,890.0,0,0,0,0,0,0,55.0
fort oasis,2.5,ballygunge,19230.0,Super Built up area 1588(147.53 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,2,1,5,South-East,Moderately Old,South,1588.0,,1300.0,0,0,0,0,0,1,139.0
on request,0.7,ultadanga,5982.0,Super Built up area 1170(108.7 sq.m.),3.0,2,1,4,South-East,Old Property,North,1170.0,,,0,0,0,0,0,0,0.0
on request,0.58,sodepur,5979.0,Super Built up area 1348(125.23 sq.m.)Carpet area: 970 sq.ft. (90.12 sq.m.),3.0,3,3,3,South-East,Relatively New,North,1348.0,,970.0,0,0,0,0,0,1,56.0
uttarayan cooperative housing society,0.85,s,7727.0,Built Up area: 1500 (139.35 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),4.0,2,2,1,East,Old Property,North,,1500.0,1100.0,1,0,0,1,0,0,64.0
sugam park,0.55,narendrapur,4500.0,Super Built up area 1151(106.93 sq.m.),3.0,2,1,3,,Old Property,South,1151.0,,,0,0,0,0,0,2,41.0
ideal aquaview,0.71,new town,7176.0,Super Built up area 1080(100.34 sq.m.),2.0,2,1,3,North-East,New Property,East,1080.0,,,0,0,0,0,1,0,62.0
balaka apartment,1.5,dum dum,7727.0,Super Built up area 2200(204.39 sq.m.),3.0,3,3,7,South-East,New Property,North,2200.0,,,1,0,0,1,0,1,41.0
deshyapriya park,1.65,lake market,9300.0,Carpet area: 1773 (164.72 sq.m.),4.0,3,2,1,South,Old Property,South,,,1773.0,0,0,1,0,0,2,68.0
prince anwar shah,1.2,pr,9230.0,Super Built up area 1680(156.08 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,3,1,3,North-West,Old Property,South,1680.0,1600.0,1300.0,0,0,0,0,0,0,70.0
"61/3a, moore avenue",0.55,tollygunge,6790.0,Carpet area: 810 (75.25 sq.m.),2.0,3,0,0,,Old Property,South,,,810.0,0,0,0,0,0,0,0.0
elanta,4.0,ballygunge,12000.0,Super Built up area 2801(260.22 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4.0,4,2,1,West,New Property,South,2801.0,,2000.0,0,1,0,0,0,0,46.0
