society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
on request,2.7,alipore,7714.0,Super Built up area 3500(325.16 sq.m.),5.0,5,3+,9,South,Moderately Old,South,3500.0,,,0,1,1,0,0,0,54.0
southwinds,0.45,garia,5107.0,Super Built up area 881(81.85 sq.m.),2.0,2,1,4,South,Relatively New,South,881.0,,,0,0,0,0,1,0,42.0
southwinds,0.5,garia,5263.0,Super Built up area 950(88.26 sq.m.),2.0,2,1,9,South,Relatively New,South,950.0,,,0,0,0,0,1,0,42.0
southwinds,0.45,garia,5287.0,Super Built up area 851(79.06 sq.m.),2.0,2,1,2,West,Relatively New,South,851.0,,,0,0,0,0,1,0,42.0
southwinds,0.45,garia,5119.0,Super Built up area 881(81.85 sq.m.),2.0,2,1,7,West,Relatively New,South,881.0,,,0,0,0,0,1,0,42.0
southwinds,0.45,garia,5056.0,Super Built up area 880(81.75 sq.m.),2.0,2,1,4,South,Relatively New,South,880.0,,,0,0,0,0,1,0,42.0
southwinds,0.75,garia,6521.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,6,South,Relatively New,South,1150.0,,,0,0,0,0,1,0,42.0
southwinds,0.5,garia,5144.0,Super Built up area 972(90.3 sq.m.),2.0,2,1,10,South,Relatively New,South,972.0,,,0,0,0,0,1,0,42.0
southwinds,0.68,garia,5738.0,Super Built up area 1185(110.09 sq.m.),3.0,2,1,11,West,Relatively New,South,1185.0,,,0,0,0,0,1,0,42.0
southwinds,0.7,garia,5447.0,Super Built up area 1285(119.38 sq.m.),3.0,2,1,7,North-West,Relatively New,South,1285.0,,,0,0,0,0,0,0,42.0
srijan eternia,0.46,madhyamgram,4291.0,Super Built up area 1072(99.59 sq.m.)Carpet area: 748 sq.ft. (69.49 sq.m.),3.0,3,1,2,North-East,New Property,North,1072.0,,748.0,0,0,0,0,1,0,54.0
npr waterside,0.23,sodepur,2513.0,Super Built up area 935(86.86 sq.m.),2.0,2,2,4,South-West,Moderately Old,North,935.0,,,0,0,0,0,1,0,39.0
siddha waterfront,0.3,khardah,3636.0,Super Built up area 825(76.65 sq.m.)Built Up area: 659 sq.ft. (61.22 sq.m.),2.0,2,1,9,South-East,New Property,North,825.0,659.0,,0,0,0,0,1,0,42.0
godrej prakriti,0.58,sodepur,5267.0,Super Built up area 1101(102.29 sq.m.),3.0,2,1,19,South-East,Relatively New,North,1101.0,,,0,0,0,0,1,2,34.0
alcove new kolkata prayag,0.52,serampore,5000.0,Super Built up area 1040(96.62 sq.m.)Built Up area: 780 sq.ft. (72.46 sq.m.),3.0,3,1,24,South-East,New Property,West,1040.0,780.0,,0,0,0,0,1,0,47.0
reliable swabhumi apartment,0.28,sodepur,2900.0,Super Built up area 970(90.12 sq.m.),2.0,2,2,4,North-East,New Property,North,970.0,,,0,0,0,0,1,0,31.0
godrej prakriti,0.65,sodepur,4782.0,Super Built up area 1359(126.26 sq.m.),3.0,2,2,19,North-West,Moderately Old,North,1359.0,,,0,0,0,0,1,1,34.0
clubtown heights,0.65,rathtala,6598.0,Super Built up area 985(91.51 sq.m.),2.0,2,1,2,North-West,Relatively New,North,985.0,,,0,0,0,0,1,0,54.0
aryan towers,0.42,madhyamgram,3127.0,Super Built up area 1359(126.26 sq.m.)Carpet area: 1107 sq.ft. (102.84 sq.m.),2.0,2,1,10,South-West,Relatively New,North,1359.0,,1107.0,0,0,0,0,1,0,34.0
vivekananda heights,0.38,sodepur,3304.0,Built Up area: 1150 (106.84 sq.m.),3.0,2,2,2,South-West,Relatively New,North,,1150.0,,0,0,0,0,1,0,25.0
reliable swabhumi plaza,0.27,sodepur,2937.0,Built Up area: 914 (84.91 sq.m.),2.0,2,1,4,South-West,New Property,North,,914.0,,0,0,0,0,1,0,18.0
rishi apartment sodepur,0.31,sodepur,2700.0,Built Up area: 1157 (107.49 sq.m.),3.0,2,1,2,South-East,New Property,North,,1157.0,,0,0,0,0,1,0,18.0
on request,0.4,dum dum,3250.0,Super Built up area 1239(115.11 sq.m.),3.0,2,1,1,East,Relatively New,North,1239.0,,,0,0,0,0,0,0,41.0
on request,0.45,mukundapur,4281.0,Super Built up area 1051(97.64 sq.m.),2.0,2,1,3,North,Relatively New,South,1051.0,,,0,0,0,0,0,0,6.0
on request,0.46,mukundapur,4372.0,Super Built up area 1050(97.55 sq.m.),2.0,2,1,4,South,Relatively New,South,1050.0,,,0,0,0,0,1,0,0.0
on requst,0.52,mukundapur,4101.0,Super Built up area 1275(118.45 sq.m.),3.0,2,1,1,North,Relatively New,South,1275.0,,,0,0,0,0,0,0,0.0
on request,0.62,ch,5016.0,Super Built up area 1236(114.83 sq.m.),3.0,2,1,3,North-West,Relatively New,East,1236.0,,,0,0,0,0,1,0,19.0
on request,0.5,ch,5882.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,2,North-East,Relatively New,East,850.0,,,0,0,0,0,1,0,19.0
on request,0.5,ch,5882.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,2,West,Relatively New,East,850.0,,,0,0,0,0,1,0,19.0
on request,0.55,new town,5789.0,Super Built up area 950(88.26 sq.m.),2.0,2,1,4,West,Relatively New,East,950.0,,,0,0,0,0,1,0,19.0
on request,0.5,new town,5555.0,Super Built up area 900(83.61 sq.m.),2.0,2,1,3,South-East,Relatively New,East,900.0,,,0,0,0,0,1,0,19.0
on request,0.65,new town,5909.0,Super Built up area 1100(102.19 sq.m.),3.0,2,1,3,South-East,Relatively New,East,1100.0,,,0,0,0,0,1,0,19.0
tata avenida,1.05,new town,10489.0,Carpet area: 1001 (93 sq.m.),2.0,2,2,14,South,New Property,East,,,1001.0,0,0,0,0,1,0,170.0
on request,0.68,new town,5333.0,Super Built up area 1275(118.45 sq.m.),3.0,2,1,2,North-East,Relatively New,East,1275.0,,,0,0,0,0,1,0,19.0
on request,0.5,new town,5549.0,Super Built up area 901(83.71 sq.m.),2.0,2,1,3,East,Relatively New,East,901.0,,,0,0,0,0,1,0,19.0
on request,0.53,new town,5888.0,Super Built up area 900(83.61 sq.m.),2.0,2,1,4,South,Relatively New,East,900.0,,,0,0,0,0,1,0,19.0
on request,0.71,new town,5440.0,Super Built up area 1305(121.24 sq.m.),3.0,2,1,4,South,Relatively New,East,1305.0,,,0,0,0,0,1,0,19.0
on request,0.55,new town,6043.0,Super Built up area 910(84.54 sq.m.),2.0,2,1,3,North-West,Relatively New,East,910.0,,,0,0,0,0,1,0,19.0
on request,0.65,new town,5371.0,Super Built up area 1210(112.41 sq.m.),3.0,2,1,3,North-East,Relatively New,East,1210.0,,,0,0,0,0,1,0,19.0
on request,0.7,new town,5384.0,Super Built up area 1300(120.77 sq.m.),3.0,2,1,4,North,Relatively New,East,1300.0,,,0,0,0,0,1,0,19.0
on request,0.68,new town,5440.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,3,North-East,Relatively New,East,1250.0,,,0,0,0,0,1,0,19.0
pallykisy1,0.36,behala,4200.0,Built Up area: 840 (78.04 sq.m.),2.0,2,1,1,North-West,Relatively New,South,,840.0,,0,0,0,0,0,0,0.0
parna1,0.28,behala,3733.0,Built Up area: 750 (69.68 sq.m.),2.0,2,1,1,North-West,Old Property,South,,750.0,,0,0,0,0,0,0,0.0
culture 1,0.35,behala,4117.0,Built Up area: 850 (78.97 sq.m.),2.0,2,1,1,South-West,Relatively New,South,,850.0,,0,0,0,0,0,0,0.0
green view 1,0.6,ramgarh,6666.0,Built Up area: 900 (83.61 sq.m.),2.0,2,1,1,North-East,Relatively New,South,,900.0,,0,0,0,0,0,0,0.0
padda 1,0.5,garia,5000.0,Built Up area: 1000 (92.9 sq.m.),3.0,3,2,1,North-West,Relatively New,South,,1000.0,,0,0,0,0,0,0,0.0
eco nest,0.58,new town,5686.0,Super Built up area 1020(94.76 sq.m.),2.0,2,2,2,South,Relatively New,East,1020.0,,,0,0,0,0,0,0,41.0
"eco nest, new booking",0.58,new town,5680.0,Super Built up area 1021(94.85 sq.m.),2.0,2,1,1,South,Relatively New,East,1021.0,,,0,0,0,0,0,0,64.0
"eco nest, new booking",0.53,new town,5760.0,Super Built up area 920(85.47 sq.m.),2.0,2,1,2,South-West,Relatively New,East,920.0,,,0,0,0,0,0,0,77.0
eco nest,0.49,new town,5861.0,Super Built up area 836(77.67 sq.m.),2.0,2,1,3,North-East,Relatively New,East,836.0,,,0,0,0,0,0,0,33.0
"eco nest, new booking",0.52,new town,5836.0,Super Built up area 891(82.78 sq.m.),2.0,2,1,3,North-West,Relatively New,East,891.0,,,0,0,0,0,0,0,25.0
sb enterprise,0.8,new town,5333.0,Super Built up area 1500(139.35 sq.m.),3.0,3,1,4,North,Relatively New,East,1500.0,,,0,0,0,0,0,0,0.0
sb enterprise,0.55,new town,5092.0,Super Built up area 1080(100.34 sq.m.),2.0,2,2,4,South-West,Relatively New,East,1080.0,,,0,0,0,0,0,0,20.0
sb enterprise,0.5,new town,4761.0,Super Built up area 1050(97.55 sq.m.),2.0,2,2,4,North-West,Relatively New,East,1050.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.5,new town,4761.0,Super Built up area 1050(97.55 sq.m.),2.0,2,1,2,North,Relatively New,East,1050.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.75,new town,5050.0,Super Built up area 1485(137.96 sq.m.),3.0,2,1,4,East,Relatively New,East,1485.0,,,0,0,0,0,0,0,20.0
on request,0.75,new town,5043.0,Super Built up area 1487(138.15 sq.m.),3.0,2,1,4,North-West,Relatively New,East,1487.0,,,0,0,0,0,0,0,28.0
"sb enterpise, new booking",0.75,new town,5043.0,Super Built up area 1487(138.15 sq.m.),3.0,2,1,1,North-East,Relatively New,East,1487.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.65,new town,5200.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,4,West,Relatively New,East,1250.0,,,0,0,0,0,0,0,27.0
sb enterprise,0.65,new town,5200.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,3,North-East,Relatively New,East,1250.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.65,new town,5195.0,Super Built up area 1251(116.22 sq.m.),3.0,2,1,1,North-East,Relatively New,East,1251.0,,,0,0,0,0,0,0,27.0
sb enterprise,0.65,new town,5200.0,Super Built up area 1250(116.13 sq.m.),3.0,3,1,4,North,Relatively New,East,1250.0,,,0,0,0,0,0,0,21.0
sb enterprise,0.65,new town,5200.0,Super Built up area 1250(116.13 sq.m.),3.0,3,1,2,North,Relatively New,East,1250.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.65,new town,5200.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,3,North,Relatively New,East,1250.0,,,0,0,0,0,0,0,28.0
sb enterprice,0.74,new town,5033.0,Super Built up area 1480(137.5 sq.m.),3.0,2,1,2,South-East,Relatively New,East,1480.0,,,0,0,0,0,0,0,20.0
sb enterprice,0.75,new town,5067.0,Super Built up area 1480(137.5 sq.m.),3.0,2,1,1,South-East,Relatively New,East,1480.0,,,0,0,0,0,0,0,25.0
"sb enterprice, action area 2",0.72,new town,4871.0,Super Built up area 1478(137.31 sq.m.),3.0,2,2,4,South,Relatively New,East,1478.0,,,0,0,0,0,0,0,25.0
"sb enterprice, action area 2",0.72,new town,4864.0,Super Built up area 1480(137.5 sq.m.),3.0,2,2,4,South-East,Relatively New,East,1480.0,,,0,0,0,0,0,0,28.0
adya fountain exotica,0.66,garia,6133.0,Super Built up area 1076(99.96 sq.m.),2.0,2,1,1,West,Relatively New,South,1076.0,,,0,0,0,0,0,0,85.0
sashwaat mandeville garden court 3,2.1,ballygunge,10999.0,Super Built up area 1972.11(183.22 sq.m.),3.0,3,1,9,North,Relatively New,South,1972.11,,,0,0,0,0,0,0,48.0
standalone apartment,1.47,southern avenue,10137.0,Super Built up area 1450(134.71 sq.m.),3.0,2,1,4,West,Old Property,South,1450.0,,,0,0,0,0,0,0,54.0
dip apartment,0.75,nandan kanan,6355.0,Super Built up area 1180(109.63 sq.m.),3.0,2,1,4,South-West,Relatively New,South,1180.0,,,0,0,0,0,1,0,13.0
magnolia grand,0.41,chotto chandpur,4880.0,Super Built up area 840(78.04 sq.m.),2.0,2,1,3,South,Relatively New,East,840.0,,,0,0,0,0,0,0,104.0
magnolia grand,0.47,chotto chandpur,3827.0,Super Built up area 1228(114.08 sq.m.),3.0,2,2,2,South,Relatively New,East,1228.0,,,0,0,0,0,0,0,104.0
mahendra bhawan,0.31,rajarhat,3400.0,Super Built up area 899(83.52 sq.m.),2.0,2,1,4,South,Relatively New,East,899.0,,,0,0,0,0,0,0,96.0
sadhnaloy rajarhat appartment,0.23,rajarhat,2956.0,Super Built up area 778(72.28 sq.m.),2.0,2,1,2,South-East,Relatively New,East,778.0,,,0,0,0,0,0,0,46.0
mahendra bhawan,0.31,rajarhat,3494.0,Super Built up area 890(82.68 sq.m.),2.0,2,1,3,South,Relatively New,East,890.0,,,0,0,0,0,0,0,88.0
bina apartment,0.28,rajarhat,3300.0,Super Built up area 840(78.04 sq.m.),2.0,2,1,3,South-West,Relatively New,East,840.0,,,0,0,0,0,0,0,20.0
sadhanalay appartment rajarhat,0.31,rajarhat,3000.0,Super Built up area 1041(96.71 sq.m.),2.0,2,1,4,South,Relatively New,east,1041.0,,,0,0,0,0,0,0,27.0
"sadhonalaya apartment, rajarhat",0.23,rajarhat,3000.0,Super Built up area 776(72.09 sq.m.),2.0,2,1,2,South,Relatively New,East,776.0,,,0,0,0,0,0,0,7.0
"heritage apartment, barrackpore",0.24,barrackpore,3000.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,3,South,Relatively New,North,800.0,,,0,0,0,0,1,0,19.0
dip apartment,0.85,nandan kanan,6910.0,Super Built up area 1230(114.27 sq.m.),3.0,2,1,1,South,Relatively New,South,1230.0,,,0,0,0,0,1,0,13.0
dip residency,0.49,new garia,4994.0,Super Built up area 981(91.14 sq.m.),3.0,2,1,1,South-East,Relatively New,South,981.0,,,0,0,0,0,1,0,7.0
dip residency,0.39,new garia,5058.0,Super Built up area 771(71.63 sq.m.),2.0,2,1,2,North,Relatively New,South,771.0,,,0,0,0,0,1,0,7.0
on request,0.62,nayabad,4568.0,Super Built up area 1357(126.07 sq.m.),3.0,2,1,2,South,Relatively New,South,1357.0,,,0,0,0,0,1,0,7.0
on request,0.35,krishnapur,4500.0,Super Built up area 776(72.09 sq.m.),2.0,2,1,3,West,Relatively New,North,776.0,,,0,0,0,0,1,0,6.0
on request,0.37,krishnapur,4441.0,Super Built up area 842(78.22 sq.m.),2.0,2,1,2,West,Relatively New,North,842.0,,,0,0,0,0,1,0,7.0
on request,0.41,krishnapur,4500.0,Super Built up area 906(84.17 sq.m.),2.0,2,1,2,South-West,Relatively New,North,906.0,,,0,0,0,0,1,0,13.0
on request,0.35,krishnapur,4500.0,Super Built up area 786(73.02 sq.m.),2.0,2,1,1,East,Relatively New,North,786.0,,,0,0,0,0,1,0,7.0
pelican tulip & lotus,0.25,nayabad,3600.0,Super Built up area 685(63.64 sq.m.),2.0,2,1,1,North-East,Relatively New,South,685.0,,,0,0,0,0,0,0,38.0
pleasent palace,0.42,narendrapur,4125.0,Super Built up area 1018(94.58 sq.m.),3.0,2,1,3,North-East,Relatively New,South,1018.0,,,0,0,0,0,0,0,110.0
rajwada royal gardens,0.71,narendrapur,7681.0,Super Built up area 1424(132.29 sq.m.)Carpet area: 926 sq.ft. (86.03 sq.m.),3.0,2,1,10,South-East,Relatively New,South,1424.0,,926.0,0,0,0,0,0,0,97.0
rajwada royal gardens,0.69,narendrapur,7679.0,Super Built up area 1379(128.11 sq.m.)Carpet area: 897 sq.ft. (83.33 sq.m.),3.0,2,1,10,South-East,Relatively New,South,1379.0,,897.0,0,0,0,0,0,0,104.0
windsor heights,1.05,em bypass,6306.0,Super Built up area 1665(154.68 sq.m.),3.0,2,2,7,South-East,Relatively New,South,1665.0,,,0,0,0,1,0,0,97.0
windsor heights,0.9,em bypass,6016.0,Super Built up area 1496(138.98 sq.m.),3.0,2,1,11,South-East,Relatively New,South,1496.0,,,0,0,0,0,0,0,104.0
windsor heights,1.0,em bypass,6006.0,Super Built up area 1665(154.68 sq.m.),3.0,2,2,7,North-East,Relatively New,South,1665.0,,,0,0,0,1,0,0,92.0
ganapati apartment.dumdum cantonment.,0.24,dum dum,3500.0,Super Built up area 700(65.03 sq.m.),2.0,2,1,2,South-East,Relatively New,North,700.0,,,0,0,0,0,1,0,65.0
"santosh enclave,sodepure",0.26,sodepur,3000.0,Super Built up area 870(80.83 sq.m.),2.0,2,1,0,South,Relatively New,North,870.0,,,0,0,0,0,1,0,19.0
"santosh enclave,sodepure",0.32,sodepur,3000.0,Super Built up area 1050(97.55 sq.m.),3.0,2,1,1,West,Relatively New,North,1050.0,,,0,0,0,0,1,0,34.0
"santosh enclave, sodepure",0.32,sodepur,3000.0,Super Built up area 1052(97.73 sq.m.),3.0,2,1,4,North-East,Relatively New,North,1052.0,,,0,0,0,0,1,0,35.0
on request,0.17,khardah,2500.0,Super Built up area 662(61.5 sq.m.),2.0,2,1,3,East,Relatively New,North,662.0,,,0,0,0,0,1,0,19.0
on request,0.17,khardah,2500.0,Super Built up area 660(61.32 sq.m.),2.0,2,1,2,West,Relatively New,North,660.0,,,0,0,0,0,1,0,0.0
parul apartment,0.15,khardah,2500.0,Super Built up area 614(57.04 sq.m.),1.0,1,1,1,South,Relatively New,North,614.0,,,0,0,0,0,1,0,19.0
on request,0.15,khardah,2500.0,Super Built up area 620(57.6 sq.m.),2.0,2,1,1,South-East,Relatively New,North,620.0,,,0,0,0,0,1,0,19.0
"ganapati apartment, new booking",0.28,dum dum,3500.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,2,South,Relatively New,North,800.0,,,0,0,0,0,0,0,33.0
ganapati apartment.dumdum cantonment.dumdum,0.23,dum dum,3500.0,Super Built up area 650(60.39 sq.m.),2.0,2,1,0,South-East,Relatively New,North,650.0,,,0,0,0,0,1,0,67.0
"siddhi data villa, new booking",0.27,dum dum,3800.0,Super Built up area 719(66.8 sq.m.),2.0,2,1,0,South-East,Relatively New,North,719.0,,,0,0,0,0,1,0,67.0
siddhi data tower. cantonment,0.27,dum dum,3300.0,Super Built up area 825(76.65 sq.m.),2.0,2,1,4,South-East,Relatively New,North,825.0,,,0,0,0,0,1,0,31.0
"siddhi data villa, new booking",0.2,dum dum,3300.0,Super Built up area 600(55.74 sq.m.),2.0,1,0,4,South-West,Relatively New,North,600.0,,,0,0,0,0,0,0,25.0
"siddhi data villa, new booking",0.35,dum dum,3300.0,Super Built up area 1048(97.36 sq.m.),2.0,2,1,4,North-West,Relatively New,North,1048.0,,,0,0,0,0,1,0,31.0
siddhi data tower.dumdum cantonment,0.35,dum dum,3300.0,Super Built up area 1048(97.36 sq.m.),2.0,2,1,1,North-West,Relatively New,North,1048.0,,,0,0,0,0,1,0,73.0
"siddhi data villa, new booking",0.27,dum dum,3300.0,Super Built up area 825(76.65 sq.m.),2.0,2,1,4,North,Relatively New,North,825.0,,,0,0,0,0,1,0,65.0
shivam apartment barrackpore,0.47,barrackpore,2903.0,Super Built up area 1636(151.99 sq.m.),3.0,2,1,3,South-West,Relatively New,North,1636.0,,,0,0,1,1,0,0,65.0
siddha happyville,0.68,rajarhat,6296.0,Super Built up area 1080(100.34 sq.m.),2.0,2,1,6,South-East,Relatively New,East,1080.0,,,1,0,0,0,0,0,104.0
shelter appartment,0.25,barrackpore,2777.0,Super Built up area 900(83.61 sq.m.),2.0,2,2,4,South-East,Old Property,North,900.0,,,0,0,1,0,0,0,44.0
paradise home,0.28,behala,4179.0,Super Built up area 670(62.25 sq.m.),2.0,2,1,0,South,Relatively New,South,670.0,,,0,0,0,0,0,0,45.0
paradise home,0.43,behala,4396.0,Super Built up area 978(90.86 sq.m.),2.0,2,1,1,South-East,Relatively New,South,978.0,,,0,0,0,0,0,0,45.0
paradise home,0.34,behala,3820.0,Super Built up area 890(82.68 sq.m.),2.0,2,1,3,South,Relatively New,South,890.0,,,0,0,0,0,0,0,45.0
paradise home,0.27,behala,3802.0,Super Built up area 710(65.96 sq.m.),2.0,2,1,1,East,Relatively New,South,710.0,,,0,0,0,0,0,0,45.0
paradise home,0.34,behala,3863.0,Super Built up area 880(81.75 sq.m.),2.0,2,1,1,South,Relatively New,South,880.0,,,0,0,0,0,0,0,45.0
paradise home,0.42,behala,4307.0,Super Built up area 975(90.58 sq.m.),3.0,2,1,2,South-East,Relatively New,South,975.0,,,0,0,0,0,0,0,45.0
paradise home,0.26,behala,3513.0,Super Built up area 740(68.75 sq.m.),2.0,2,1,1,South,Moderately Old,South,740.0,,,0,0,0,0,0,0,38.0
paradise home,0.32,behala,4315.0,Super Built up area 730(67.82 sq.m.),2.0,2,1,1,South,Relatively New,South,730.0,,,0,0,0,0,0,0,45.0
paradise home,0.36,behala,4363.0,Super Built up area 825(76.65 sq.m.),2.0,2,1,3,South,Relatively New,South,825.0,,,0,0,0,0,0,0,45.0
paradise home,0.33,behala,4285.0,Super Built up area 770(71.54 sq.m.),2.0,2,1,3,South,Relatively New,South,770.0,,,0,0,0,0,0,0,45.0
paradise home,0.57,behala,4384.0,Super Built up area 1300(120.77 sq.m.),3.0,3,1,1,North,Relatively New,South,1300.0,,,0,0,0,0,0,0,45.0
on request,0.45,em bypass,5235.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,2,South,Relatively New,South,850.0,,,0,0,0,0,1,0,0.0
on request,0.66,purbachal,4551.0,Super Built up area 1450(134.71 sq.m.),3.0,2,1,2,North-West,Moderately Old,North,1450.0,,,0,0,0,0,0,0,38.0
on request,1.2,em bypass,6486.0,Super Built up area 1850(171.87 sq.m.),3.0,2,1,4,North-East,Moderately Old,South,1850.0,,,0,0,0,0,0,0,45.0
on request,0.85,em bypass,6746.0,Super Built up area 1260(117.06 sq.m.),3.0,2,1,1,South-West,Moderately Old,North,1260.0,,,0,0,0,0,0,0,39.0
on request,0.75,anandapur,4901.0,Super Built up area 1530(142.14 sq.m.),3.0,2,1,1,South,Moderately Old,South,1530.0,,,0,0,0,0,0,0,45.0
realtech nirman 16 aana,0.25,rajarhat,3703.0,Super Built up area 679(63.08 sq.m.),2.0,2,1,4,North-West,Relatively New,East,679.0,,,0,0,0,0,1,0,34.0
realtech nirman 16 aana,0.27,rajarhat,3580.0,Super Built up area 754(70.05 sq.m.),2.0,2,1,2,East,Relatively New,East,754.0,,,0,0,0,0,1,0,34.0
realtech nirman 16 aana,0.54,rajarhat,3707.0,Super Built up area 1462(135.82 sq.m.),3.0,2,2,2,East,Relatively New,East,1462.0,,,0,0,0,0,1,0,33.0
on request,1.05,haltu,7000.0,Super Built up area 1500(139.35 sq.m.),3.0,2,1,4,South-East,Relatively New,South,1500.0,,,0,0,0,0,0,0,45.0
paradise home,0.26,behala,3473.0,Super Built up area 750(69.68 sq.m.),2.0,1,1,0,North,Relatively New,South,750.0,,,0,0,0,0,0,0,32.0
paradise home,0.26,behala,3480.0,Super Built up area 750(69.68 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,1,1,0,South,Relatively New,South,750.0,,700.0,0,0,0,0,0,0,54.0
paradise home,0.17,behala,3888.0,Super Built up area 450(41.81 sq.m.),1.0,1,1,1,South-West,Relatively New,South,450.0,,,0,0,0,0,0,0,39.0
paradise home,0.29,behala,3333.0,Super Built up area 870(80.83 sq.m.),2.0,2,1,0,North-West,Relatively New,South,870.0,,,0,0,0,0,0,0,45.0
mahendra bhawan,0.29,rajarhat,3524.0,Super Built up area 820(76.18 sq.m.),2.0,2,1,1,West,Relatively New,East,820.0,,,0,0,0,0,0,0,89.0
mahendra bhawan,0.32,rajarhat,3595.0,Super Built up area 890(82.68 sq.m.),2.0,2,1,3,South-East,Relatively New,East,890.0,,,0,0,0,0,0,0,89.0
paradise home,0.57,behala,4935.0,Super Built up area 1155(107.3 sq.m.),3.0,2,1,3,North,Relatively New,South,1155.0,,,0,0,0,0,0,0,45.0
paradise home,0.36,behala,4285.0,Super Built up area 840(78.04 sq.m.),2.0,2,1,1,North-East,Relatively New,South,840.0,,,0,0,0,0,0,0,39.0
paradise home,0.45,behala,4500.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),3.0,2,1,1,South-West,Relatively New,South,1000.0,,950.0,0,0,1,0,0,0,53.0
"on request,new booking",0.26,rajarhat,3058.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,4,North,Relatively New,East,850.0,,,0,0,0,0,0,0,41.0
om apartment,0.68,behala,5037.0,Super Built up area 1350(125.42 sq.m.),3.0,2,1,2,North,Relatively New,South,1350.0,,,0,0,0,0,0,0,39.0
bina apartment,0.6,rajarhat,3529.0,Super Built up area 1700(157.94 sq.m.),3.0,2,1,3,South-East,Relatively New,East,1700.0,,,0,0,0,0,0,0,53.0
bina niketan 2,0.28,rajarhat,3257.0,Super Built up area 875(81.29 sq.m.),2.0,2,1,3,South-West,Relatively New,East,875.0,,,0,0,0,0,0,0,53.0
bina niketan 2,0.37,rajarhat,3252.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,2,East,Relatively New,East,1150.0,,,0,0,0,0,0,0,53.0
bina niketan 2,0.3,rajarhat,3260.0,Super Built up area 920(85.47 sq.m.),2.0,2,1,2,South,Relatively New,East,920.0,,,0,0,0,0,0,0,66.0
bina niketan 2,0.25,rajarhat,3285.0,Super Built up area 770(71.54 sq.m.),2.0,2,1,2,South-West,Relatively New,East,770.0,,,0,0,0,0,0,0,52.0
sadhanalay apartment,0.3,rajarhat,2899.0,Super Built up area 1045(97.08 sq.m.),2.0,2,1,4,South,Relatively New,East,1045.0,,,0,0,0,0,0,0,50.0
silver green,0.26,rajarhat,2914.0,Super Built up area 875(81.29 sq.m.),2.0,2,0,1,North,Relatively New,East,875.0,,,0,0,1,0,0,0,40.0
bina niketan 2,0.27,rajarhat,3100.0,Super Built up area 875(81.29 sq.m.),2.0,2,1,3,South-West,Relatively New,East,875.0,,,0,0,1,0,0,0,23.0
bina niketan 2,0.36,rajarhat,3100.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,1,North-East,Relatively New,East,1150.0,,,0,0,1,0,0,0,23.0
mahendra bhawan,0.28,rajarhat,3400.0,Super Built up area 832(77.3 sq.m.),2.0,2,1,2,North-East,Relatively New,East,832.0,,,0,0,1,0,0,0,22.0
mahendra bhawan,0.28,rajarhat,3402.0,Super Built up area 820(76.18 sq.m.),2.0,2,1,3,North-West,Relatively New,East,820.0,,,0,0,1,0,0,0,22.0
on request,0.5,anandpur,4237.0,Super Built up area 1180(109.63 sq.m.),3.0,2,1,3,East,Moderately Old,South,1180.0,,,0,0,0,0,1,0,35.0
mahendra bhawan,0.29,rajarhat,3400.0,Super Built up area 840(78.04 sq.m.),2.0,2,1,4,North-West,Relatively New,East,840.0,,,0,0,1,0,0,0,70.0
on request,0.55,anandapur,4782.0,Super Built up area 1150(106.84 sq.m.),3.0,2,2,1,South-West,Moderately Old,South,1150.0,,,0,0,0,0,1,0,36.0
on request,0.55,pr,4782.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,2,South,Relatively New,South,1150.0,,,0,0,0,0,1,0,7.0
sashwati niwas,0.58,madurdaha,4662.0,Super Built up area 1244(115.57 sq.m.),3.0,2,2,1,South-West,Relatively New,South,1244.0,,,0,0,0,0,1,2,20.0
on request,0.69,kalikapur,5500.0,Super Built up area 1260(117.06 sq.m.),3.0,2,1,1,South,Relatively New,South,1260.0,,,0,0,0,0,1,0,7.0
